PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,WorkLifeBalanceLabel,,,,,,,,,,,,,,
PR1079,380E-44B4,30/04/2016,3,2,3,2,1,3,5,4,Good,,,,,,,,,,,,,,
PR1087,13E5-2F17,4/5/2016,3,2,3,3,0,3,3,3,Good,,,,,,,,,,,,,,
PR1145,64BA-99F0,1/6/2016,3,2,5,2,0,3,5,5,Good,,,,,,,,,,,,,,
PR1167,BDC5-51CF,21/06/2016,3,2,4,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR1192,E268-61EB,10/7/2016,3,2,3,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR1204,C0BE-FED0,19/07/2016,3,2,4,1,0,3,4,3,Good,,,,,,,,,,,,,,
PR1209,D565-284D,25/07/2016,3,2,4,2,1,3,3,2,Good,,,,,,,,,,,,,,
PR1211,F3A3-10CE,28/07/2016,3,2,2,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR1229,9811-F345,13/08/2016,3,2,5,1,2,3,5,5,Good,,,,,,,,,,,,,,
PR1283,465A-91D1,19/10/2016,3,2,5,3,0,3,5,5,Good,,,,,,,,,,,,,,
PR1334,C54B-DBC5,29/11/2016,3,2,2,1,2,3,5,5,Good,,,,,,,,,,,,,,
PR1360,A2FB-2D5D,22/12/2016,3,2,4,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR1477,5A04-0EB4,15/02/2017,3,2,2,3,1,3,4,3,Good,,,,,,,,,,,,,,
PR1513,C57E-6E4F,3/3/2017,3,2,2,3,0,3,3,2,Good,,,,,,,,,,,,,,
PR1544,8A5B-3D6E,15/03/2017,3,2,1,3,2,3,4,4,Good,,,,,,,,,,,,,,
PR1593,52CC-3E9E,12/4/2017,3,2,5,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR1682,45F9-3A37,23/05/2017,3,2,4,2,2,3,4,4,Good,,,,,,,,,,,,,,
PR1697,CACA-0D62,28/05/2017,3,2,4,1,0,3,3,3,Good,,,,,,,,,,,,,,
PR1881,817D-28CE,9/10/2017,3,2,3,2,0,3,4,3,Good,,,,,,,,,,,,,,
PR1912,C1C6-F683,1/11/2017,3,2,4,3,1,3,3,3,Good,,,,,,,,,,,,,,
PR1927,BAB4-3AC8,8/11/2017,3,2,5,2,1,3,4,4,Good,,,,,,,,,,,,,,
PR1981,E55E-9436,16/12/2017,3,2,5,2,0,3,4,4,Good,,,,,,,,,,,,,,
PR207,DB6C-3B2F,12/2/2014,3,2,3,2,1,3,5,5,Good,,,,,,,,,,,,,,
PR2131,C6A8-4E8A,22/02/2018,3,2,4,2,0,3,3,2,Good,,,,,,,,,,,,,,
PR2243,1A7C-19DB,11/4/2018,3,2,3,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR2267,FD3F-5255,19/04/2018,3,2,4,3,1,3,3,2,Good,,,,,,,,,,,,,,
PR2287,D93A-CC98,28/04/2018,3,2,4,1,1,3,4,3,Good,,,,,,,,,,,,,,
PR2311,291F-B604,8/5/2018,3,2,3,1,1,3,3,3,Good,,,,,,,,,,,,,,
PR2336,A2D0-E2D2,19/05/2018,3,2,5,3,1,3,4,3,Good,,,,,,,,,,,,,,
PR2338,9169-FC4B,20/05/2018,3,2,2,1,1,3,4,4,Good,,,,,,,,,,,,,,
PR2361,6965-C170,29/05/2018,3,2,4,3,0,3,5,5,Good,,,,,,,,,,,,,,
PR2451,CCAB-4B80,17/07/2018,3,2,2,2,1,3,5,4,Good,,,,,,,,,,,,,,
PR2469,D565-284D,25/07/2018,3,2,3,2,0,3,4,3,Good,,,,,,,,,,,,,,
